role,permission(action),description
AI Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,"Read and configure Azure Service Health"
AI Administrator,microsoft.azure.supportTickets/allEntities/allTasks,"Create and manage Azure support tickets"
AI Administrator,microsoft.office365.copilot/allEntities/allProperties/allTasks,"Create and manage all settings for Microsoft 365 Copilot"
AI Administrator,microsoft.office365.messageCenter/messages/read,"Read messages in Message Center in the Microsoft 365 admin center, excluding security messages"
AI Administrator,microsoft.office365.network/performance/allProperties/read,"Read all network performance properties in the Microsoft 365 admin center"
AI Administrator,microsoft.office365.search/content/manage,"Create and delete content, and read and update all properties in Microsoft Search"
AI Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
AI Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
AI Administrator,microsoft.office365.usageReports/allEntities/allProperties/read,"Read Office 365 usage reports"
AI Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Application Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,"Read and configure Azure Service Health"
Application Administrator,microsoft.azure.supportTickets/allEntities/allTasks,"Create and manage Azure support tickets"
Application Administrator,microsoft.directory/adminConsentRequestPolicy/allProperties/allTasks,"Manage admin consent request policies in Microsoft Entra ID"
Application Administrator,microsoft.directory/appConsent/appConsentRequests/allProperties/read,"Read all properties of consent requests for applications registered with Microsoft Entra ID"
Application Administrator,microsoft.directory/applicationPolicies/basic/update,"Update standard properties of application policies"
Application Administrator,microsoft.directory/applicationPolicies/create,"Create application policies"
Application Administrator,microsoft.directory/applicationPolicies/delete,"Delete application policies"
Application Administrator,microsoft.directory/applicationPolicies/owners/read,"Read owners on application policies"
Application Administrator,microsoft.directory/applicationPolicies/owners/update,"Update the owner property of application policies"
Application Administrator,microsoft.directory/applicationPolicies/policyAppliedTo/read,"Read application policies applied to objects list"
Application Administrator,microsoft.directory/applicationPolicies/standard/read,"Read standard properties of application policies"
Application Administrator,microsoft.directory/applications/applicationProxy/read,"Read all application proxy properties"
Application Administrator,microsoft.directory/applications/applicationProxy/update,"Update all application proxy properties"
Application Administrator,microsoft.directory/applications/applicationProxyAuthentication/update,"Update authentication on all types of applications"
Application Administrator,microsoft.directory/applications/applicationProxySslCertificate/update,"Update SSL certificate settings for application proxy"
Application Administrator,microsoft.directory/applications/applicationProxyUrlSettings/update,"Update URL settings for application proxy"
Application Administrator,microsoft.directory/applications/appRoles/update,"Update the appRoles property on all types of applications"
Application Administrator,microsoft.directory/applications/audience/update,"Update the audience property for applications"
Application Administrator,microsoft.directory/applications/authentication/update,"Update authentication on all types of applications"
Application Administrator,microsoft.directory/applications/basic/update,"Update basic properties for applications"
Application Administrator,microsoft.directory/applications/create,"Create all types of applications"
Application Administrator,microsoft.directory/applications/credentials/update,"Update application credentials"
Application Administrator,microsoft.directory/applications/delete,"Delete all types of applications"
Application Administrator,microsoft.directory/applications/extensionProperties/update,"Update extension properties on applications"
Application Administrator,microsoft.directory/applications/notes/update,"Update notes of applications"
Application Administrator,microsoft.directory/applications/owners/update,"Update owners of applications"
Application Administrator,microsoft.directory/applications/permissions/update,"Update exposed permissions and required permissions on all types of applications"
Application Administrator,microsoft.directory/applications/policies/update,"Update policies of applications"
Application Administrator,microsoft.directory/applications/synchronization/standard/read,"Read provisioning settings associated with the application object"
Application Administrator,microsoft.directory/applications/tag/update,"Update tags of applications"
Application Administrator,microsoft.directory/applications/verification/update,"Update applicationsverification property"
Application Administrator,microsoft.directory/applicationTemplates/instantiate,"Instantiate gallery applications from application templates"
Application Administrator,microsoft.directory/auditLogs/allProperties/read,"Read all properties on audit logs, excluding custom security attributes audit logs"
Application Administrator,microsoft.directory/connectorGroups/allProperties/read,"Read all properties of application proxy connector groups"
Application Administrator,microsoft.directory/connectorGroups/allProperties/update,"Update all properties of application proxy connector groups"
Application Administrator,microsoft.directory/connectorGroups/create,"Create application proxy connector groups"
Application Administrator,microsoft.directory/connectorGroups/delete,"Delete application proxy connector groups"
Application Administrator,microsoft.directory/connectors/allProperties/read,"Read all properties of application proxy connectors"
Application Administrator,microsoft.directory/connectors/create,"Create application proxy connectors"
Application Administrator,microsoft.directory/customAuthenticationExtensions/allProperties/allTasks,"Create and manage custom authentication extensions"
Application Administrator,microsoft.directory/deletedItems.applications/delete,"Permanently delete applications, which can no longer be restored"
Application Administrator,microsoft.directory/deletedItems.applications/restore,"Restore soft deleted applications to original state"
Application Administrator,microsoft.directory/oAuth2PermissionGrants/allProperties/allTasks,"Create and delete OAuth 2.0 permission grants, and read and update all properties"
Application Administrator,microsoft.directory/provisioningLogs/allProperties/read,"Read all properties of provisioning logs"
Application Administrator,microsoft.directory/servicePrincipals/appRoleAssignedTo/update,"Update service principal role assignments"
Application Administrator,microsoft.directory/servicePrincipals/audience/update,"Update audience properties on service principals"
Application Administrator,microsoft.directory/servicePrincipals/authentication/update,"Update authentication properties on service principals"
